Title                                                                                       - Score - Year - Num Eps            - Duration             - Genre(s)                                                                        - Link
Aftermath                                                                                   - 6.12  - 2016 - 1 episode(s)       - 5 min.               - Military, Music, Drama                                                          - https://myanimelist.net/anime/33326
Akagami no Shirayuki-hime 2nd Season                                                        - 8.13  - 2016 - 12 episode(s)      - 24 min. per ep.      - Drama, Romance, Fantasy, Shoujo                                                 - https://myanimelist.net/anime/31173
Akai Koudan Zillion                                                                         - 6.75  - 1987 - 31 episode(s)      - 24 min. per ep.      - Action, Military, Sci-Fi, Adventure                                             - https://myanimelist.net/anime/2688
Alluptoyou                                                                                  - 5.07  - 2016 - 1 episode(s)       - 2 min.               - Music                                                                           - https://myanimelist.net/anime/36092
Ana no Oku no Ii Tokoro                                                                     - 6.31  - 2014 - 2 episode(s)       - 20 min. per ep.      - Hentai                                                                          - https://myanimelist.net/anime/27881
Animegatari x Ghost in the Shell Collab Eizou                                               - 5.28  - 2015 - 1 episode(s)       - 1 min.               - Sci-Fi, Comedy                                                                  - https://myanimelist.net/anime/33512
Ao no Kanata no Four Rhythm                                                                 - 6.87  - 2016 - 12 episode(s)      - 24 min. per ep.      - Sci-Fi, Sports, Drama, School                                                   - https://myanimelist.net/anime/28391
Aoshima Megu                                                                                - 5.28  - 2017 - 1 episode(s)       - 45 sec.              - Adventure                                                                       - https://myanimelist.net/anime/35933
Apfelland Monogatari                                                                        - 6.07  - 1992 - 1 episode(s)       - 1 hr. 30 min.        - Adventure, Historical, Drama                                                    - https://myanimelist.net/anime/5673
Asuka: Nihon no Rekishi                                                                     - 5.83  - 1991 - 20 episode(s)      - 30 min. per ep.      -                                                                                 - https://myanimelist.net/anime/35723
Ayakashi                                                                                    - 6.45  - 2007 - 12 episode(s)      - 23 min. per ep.      - Action, Sci-Fi, Horror, Fantasy                                                 - https://myanimelist.net/anime/3166
Baka Baka Baka na Sekai                                                                     - 4.34  - 1968 - 1 episode(s)       - 5 min.               - Military, Comedy, Dementia                                                      - https://myanimelist.net/anime/29777
Bakugan Battle Brawlers: New Vestroia                                                       - 6.48  - 2009 - 52 episode(s)      - 24 min. per ep.      - Game, Adventure, Fantasy, Shounen                                               - https://myanimelist.net/anime/5337
Battle Spirits: Brave                                                                       - 7.17  - 2010 - 50 episode(s)      - 24 min. per ep.      - Game, Military, Sci-Fi, Adventure, Demons                                       - https://myanimelist.net/anime/9346
Be Blues! Ao ni Nare                                                                        - 5.34  - 2013 - 1 episode(s)       - 31 sec.              - Sports, Shounen                                                                 - https://myanimelist.net/anime/22205
Best Care Group                                                                             - 5.47  - 2012 - 3 episode(s)       - 3 min. per ep.       - Slice of Life, Drama                                                            - https://myanimelist.net/anime/33940
Bikkuriman: Daiichiji Seima Taisen                                                          - 5.43  - 1988 - 1 episode(s)       - 28 min.              - Action, Adventure, Kids                                                         - https://myanimelist.net/anime/10203
