Title                                                                                       - Score - Year - Num Eps            - Duration             - Genre(s)                                                                        - Link
Aftermath                                                                                   - 6.09  - 2016 - 1 episode(s)       - 5 min.               - Military, Music, Drama                                                          - https://myanimelist.net/anime/33326
Akagami no Shirayuki-hime 2nd Season                                                        - 8.13  - 2016 - 12 episode(s)      - 24 min. per ep.      - Drama, Romance, Fantasy, Shoujo                                                 - https://myanimelist.net/anime/31173
Akai Koudan Zillion                                                                         - 6.77  - 1987 - 31 episode(s)      - 24 min. per ep.      - Action, Adventure, Military, Sci-Fi, Shounen                                    - https://myanimelist.net/anime/2688
Alluptoyou                                                                                  - 3.89  - 2016 - 1 episode(s)       - 2 min.               - Music                                                                           - https://myanimelist.net/anime/36092
Animegatari x Ghost in the Shell Collab Eizou                                               - 5.25  - 2015 - 1 episode(s)       - 1 min.               - Sci-Fi, Comedy                                                                  - https://myanimelist.net/anime/33512
Ao no Kanata no Four Rhythm                                                                 - 6.88  - 2016 - 12 episode(s)      - 24 min. per ep.      - Sci-Fi, Sports, Drama, School                                                   - https://myanimelist.net/anime/28391
Apfelland Monogatari                                                                        - 6.07  - 1992 - 1 episode(s)       - 1 hr. 30 min.        - Adventure, Historical, Drama                                                    - https://myanimelist.net/anime/5673
Asuka: Nihon no Rekishi                                                                     - 5.80  - 1991 - 20 episode(s)      - 30 min. per ep.      -                                                                                 - https://myanimelist.net/anime/35723
Ayakashi                                                                                    - 6.46  - 2007 - 12 episode(s)      - 23 min. per ep.      - Action, Sci-Fi, Horror, Fantasy                                                 - https://myanimelist.net/anime/3166
Baka Baka Baka na Sekai                                                                     - 4.32  - 1968 - 1 episode(s)       - 5 min.               - Military, Comedy, Dementia                                                      - https://myanimelist.net/anime/29777
Bakugan Battle Brawlers: New Vestroia                                                       - 6.48  - 2009 - 52 episode(s)      - 24 min. per ep.      - Game, Adventure, Fantasy, Shounen                                               - https://myanimelist.net/anime/5337
Battle Spirits: Brave                                                                       - 7.18  - 2010 - 50 episode(s)      - 24 min. per ep.      - Game, Military, Sci-Fi, Adventure, Demons                                       - https://myanimelist.net/anime/9346
Be Blues! Ao ni Nare                                                                        - 5.33  - 2013 - 1 episode(s)       - 31 sec.              - Sports, Shounen                                                                 - https://myanimelist.net/anime/22205
Best Care Group                                                                             - 5.46  - 2012 - 3 episode(s)       - 3 min. per ep.       - Slice of Life, Drama                                                            - https://myanimelist.net/anime/33940
Bikkuriman: Daiichiji Seima Taisen                                                          - 5.41  - 1988 - 1 episode(s)       - 28 min.              - Action, Adventure, Kids                                                         - https://myanimelist.net/anime/10203
Bleach: Memories in the Rain                                                                - 7.21  - 2005 - 1 episode(s)       - 29 min.              - Action, Adventure, Supernatural, Drama, Shounen                                 - https://myanimelist.net/anime/762
Boku no Kanojo ga Majimesugiru Sho-bitch na Ken                                             - 6.46  - 2017 - 10 episode(s)      - 23 min. per ep.      - Comedy, Ecchi, Romance, School                                                  - https://myanimelist.net/anime/35712
Boku no Son Gokuu                                                                           - 6.02  - 2003 - 1 episode(s)       - 1 hr. 35 min.        - Kids, Adventure, Fantasy                                                        - https://myanimelist.net/anime/20189
